pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
13,2009,Tyler Hansbrough,University of North Carolina,/players/h/hansbty01.html,142,NULL,939,1752,12,38,982,1241,NULL,1219,154,180,66,146,NULL,2872,.536,.316,.791,NULL,20.2,8.6,1.1
14,2009,Earl Clark,University of Louisville,/players/c/clarkea01.html,104,NULL,419,897,56,188,210,328,NULL,728,179,93,124,199,NULL,1104,.467,.298,.640,NULL,10.6,7.0,1.7
15,2009,Austin Daye,Gonzaga University,/players/d/dayeau01.html,67,NULL,275,577,62,147,166,210,NULL,386,69,45,124,129,NULL,778,.477,.422,.790,NULL,11.6,5.8,1.0
16,2009,James Johnson,Wake Forest University,/players/j/johnsja01.html,61,NULL,351,682,50,169,151,218,NULL,508,99,85,88,152,NULL,903,.515,.296,.693,NULL,14.8,8.3,1.6
17,2009,Jrue Holiday,University of California Los Angeles,/players/h/holidjr01.html,35,NULL,112,249,27,88,45,62,NULL,132,129,55,18,75,NULL,296,.450,.307,.726,NULL,8.5,3.8,3.7
18,2009,Ty Lawson,University of North Carolina,/players/l/lawsoty01.html,105,NULL,463,896,112,278,337,432,NULL,303,608,184,10,136,NULL,1375,.517,.403,.780,NULL,13.1,2.9,5.8
19,2009,Jeff Teague,Wake Forest University,/players/t/teaguje01.html,61,NULL,315,682,77,183,293,361,NULL,184,184,113,35,180,NULL,1000,.462,.421,.812,NULL,16.4,3.0,3.0
20,2009,Eric Maynor,Virginia Commonwealth University,/players/m/maynoer01.html,130,NULL,654,1457,142,384,503,636,NULL,442,674,168,20,197,NULL,1953,.449,.370,.791,NULL,15.0,3.4,5.2
21,2009,Darren Collison,University of California Los Angeles,/players/c/collida01.html,141,NULL,560,1171,163,371,347,408,NULL,320,572,231,13,161,NULL,1630,.478,.439,.850,NULL,11.6,2.3,4.1
24,2009,Byron Mullens,Ohio State University,/players/m/mulleby01.html,33,NULL,120,188,0,1,52,93,NULL,154,9,16,37,51,NULL,292,.638,.000,.559,NULL,8.8,4.7,0.3
